long	lat
-48.16243738	-1.159849261
-48.16076418	-1.160379311
-48.15828801	-1.1625064
-48.15501552	-1.163444261
-48.1557104	-1.166323719
-48.15245813	-1.16660575
-48.1524592	-1.16998755
-48.1506832	-1.172846539
-48.14976158	-1.176173319
-48.1493419	-1.179213261
-48.14698288	-1.181133539
-48.14687633	-1.184803869
-48.14528875	-1.18774325
-48.14662057	-1.19061415
-48.14487228	-1.193482089
-48.14210091	-1.195338439
-48.13749073	-1.199925711
-48.18264958	-1.22509045
-48.20318366	-1.23653305
-48.2033668	-1.237429581
-48.20741	-1.257176989
-48.21779695	-1.307919481
-48.22489015	-1.342581381
-48.22581255	-1.347088839
-48.22584614	-1.347245
-48.22687123	-1.352010131
-48.2268952	-1.3521216
-48.22952828	-1.364361511
-48.22967142	-1.3650269
-48.22970484	-1.365182281
-48.23008385	-1.3669441
-48.230092	-1.366982
-48.2301004	-1.367025081
-48.2306541	-1.369863611
-48.23168229	-1.374864619
-48.23073191	-1.377714619
-48.23073997	-1.381076219
-48.23620421	-1.385170031
-48.23716671	-1.386666689
-48.23829004	-1.388413461
-48.23973823	-1.391504189
-48.24193441	-1.393705961
-48.2440197	-1.3971564
-48.24544701	-1.39921595
-48.24571206	-1.399598119
-48.24410355	-1.401032389
-48.24307344	-1.401950911
-48.24128839	-1.404331881
-48.23901846	-1.406564961
-48.23635099	-1.409664439
-48.2333451	-1.41152675
-48.2311823	-1.414023669
-48.23154379	-1.4171837
-48.23140045	-1.420260589
-48.232488	-1.423772461
-48.23379321	-1.426475089
-48.23473904	-1.429508839
-48.2373729	-1.4323516
-48.24048336	-1.435058811
-48.24357105	-1.4368122
-48.24576798	-1.439019561
-48.24745824	-1.441878911
-48.2517609	-1.442537661
-48.25490165	-1.44427325
-48.25518836	-1.445677689
-48.25556826	-1.447540381
-48.25584693	-1.45070215
-48.25653894	-1.453861381
-48.25768137	-1.457287211
-48.25888238	-1.463455869
-48.26028931	-1.46673935
-48.26223456	-1.468948919
-48.2661795	-1.468941061
-48.2694858	-1.469173611
-48.27584648	-1.468713911
