"x" "y" "altitude"
"402590" -48.4536033104256 -1.42677191416402 26
"198835" -48.4027108145533 -1.26527693184356 15
"422013" -48.282917486608 -1.4436111856919 18
"130088" -48.2262963241378 -1.20784399530453 27
"14526" -48.2555315260177 -1.10077360113299 16
"77524" -48.1827269955386 -1.16356514233275 40
"144951" -48.5548273517397 -1.22156990008366 9
"428325" -48.4569082798938 -1.44963958235882 7
"157473" -48.4210580138505 -1.2320576869714 14
"169259" -48.4263201999409 -1.24267656835224 15
"371720" -48.2463390193335 -1.40195593962557 14
"208388" -48.4654196538344 -1.27204302221679 14
"42561" -48.2624372764923 -1.13359449122226 20
"3361" -48.3401790609141 -1.07362005200434 15
"422221" -48.3662585823258 -1.4442685266529 14
"169456" -48.2301456010249 -1.24191822207835 43
"209069" -48.2437092210313 -1.2720934130958 47
"423044" -48.3489601203201 -1.4448068583487 16
"291724" -48.3196550427405 -1.33506903596036 10
"319124" -48.3643979540308 -1.35924088912574 17
"209060" -48.2506457219142 -1.27210086590759 24
"139903" -48.2104727177336 -1.21676399883646 23
"379542" -48.2794902383542 -1.40841831122482 23
"127177" -48.348844784232 -1.20545355898526 18
"425411" -48.323704811063 -1.44715097250192 25
"434440" -48.4568095813187 -1.45517258126932 5
"344122" -48.4748561569164 -1.38037256944404 10
"256169" -48.3388437664238 -1.30850165313075 14
"35126" -48.4054313661558 -1.12627896500938 21
"140914" -48.2830911941736 -1.21735996092423 37
"362530" -48.31002953096 -1.39462950552422 23
"352436" -48.2567621490323 -1.38660838276083 33
"226314" -48.406686208978 -1.28578192267984 13
"59532" -48.2565960180257 -1.14922809389144 19
"205928" -48.4497421271504 -1.27035158091285 23
"224429" -48.462771525527 -1.28405104552213 10
"302441" -48.2686028450473 -1.3441726222044 31
"271050" -48.2991517333478 -1.31990943620112 20
"273069" -48.2874962279281 -1.3212930501375 16
"303632" -48.4656226555911 -1.34620211582215 18
"100506" -48.3485895514615 -1.18224879218098 22
"210580" -48.3164045982517 -1.27328772563047 19
"17714" -48.4103512307815 -1.10608023364877 13
"366459" -48.3395787832915 -1.39787515875929 15
"310029" -48.3257563190504 -1.35093920629343 23
"228521" -48.4343240102268 -1.28709487563502 6
"64371" -48.3537034895529 -1.15350977277414 17
"412444" -48.3983677604361 -1.43508877302953 18
"404901" -48.448882892312 -1.42904771274049 10
"54702" -48.3889503544495 -1.14544282830674 15
"234464" -48.2832267539312 -1.29210391967867 40
"190547" -48.2781286466866 -1.25872497423093 17
"178571" -48.2182072761873 -1.24944565929077 29
"1515" -48.3787518574554 -1.06778832402742 18
"147168" -48.3591072713174 -1.22337834448718 24
"85591" -48.4693999370247 -1.17037489962983 5
"354974" -48.2477419827494 -1.38855271784953 35
"377700" -48.4292026519373 -1.40750015125349 17
"240559" -48.4612327533157 -1.29661876959242 15
"448105" -48.45575129301 -1.49101685640643 13
"204463" -48.3440452533533 -1.26968577180363 17
"109490" -48.3685148509194 -1.18941322126228 37
"285940" -48.2811503557926 -1.33064182171759 25
"141804" -48.3256165856982 -1.21855716344416 9
"66265" -48.2785094466186 -1.154834728443 19
"107680" -48.302062118471 -1.18753327274567 14
"451175" -48.4718412484798 -1.49718053498442 15
"444404" -48.3713964530538 -1.48058309339764 3
"55720" -48.4462504472408 -1.14633277321132 12
"80636" -48.2449268658856 -1.16611250328964 15
"222093" -48.4326085076373 -1.2820655445693 16
"192061" -48.5621461574984 -1.26040465271991 15
"428417" -48.4445581589185 -1.44980514052864 19
"147676" -48.5334562244708 -1.22378489204377 22
"435383" -48.4559296979206 -1.45610263382726 2
"155630" -48.3475255775703 -1.23030923481076 15
"367441" -48.4404515691343 -1.39882600081077 22
"7899" -48.3831768554711 -1.08482942450566 12
"398467" -48.3001460819088 -1.4229650906301 15
"186489" -48.2795191586557 -1.25565439860971 20
"30669" -48.2283233567117 -1.12099491446759 18
"51895" -48.4527744910254 -1.14298684115504 7
"18432" -48.3456991865642 -1.10686058142116 27
"184715" -48.5486913128009 -1.25480522142066 19
"160249" -48.5527337279739 -1.23497613703439 13
"404985" -48.3850544900986 -1.42864958888327 17
"417976" -48.4209332735018 -1.44023514966017 9
"26956" -48.366361801292 -1.11679415098786 25
"412984" -48.3883766969742 -1.43563590924083 19
"418006" -48.4003045045769 -1.44025810083445 20
"420730" -48.2843061700495 -1.44256556806658 18
"318750" -48.4170445218288 -1.35892908724385 18
"143265" -48.2287814149197 -1.21957564612696 27
"166625" -48.533302493117 -1.24005586737927 5
"397475" -48.4796954009667 -1.42261103423031 3
"31272" -48.2667488321923 -1.1217294779442 11
"144863" -48.2596697681011 -1.22109694685768 21
"403753" -48.3709028665637 -1.42751613992958 20
"266666" -48.4212515749943 -1.31640895564475 15
"21519" -48.2530256627592 -1.11040609626235 18
"385012" -48.2607553869503 -1.41258528403456 21
"77009" -48.3742274879796 -1.16344399678478 21
"215385" -48.5331288707165 -1.27713708181008 16
"367239" -48.3408267271507 -1.39857480708683 8
"263293" -48.4759236378203 -1.31395140870189 15
"100676" -48.1988558569295 -1.18156547976549 22
"224500" -48.3935346944211 -1.28398090195138 29
"69645" -48.3601366866251 -1.15804036557369 12
"292957" -48.2813752985183 -1.33636723726548 15
"206381" -48.3904957883656 -1.27057131401881 26
"259273" -48.3124806438012 -1.31065176215877 18
"43191" -48.3279164041181 -1.13449395780471 14
"382016" -48.3234698494282 -1.41042459345836 10
"16982" -48.3432037326565 -1.10490329396384 23
"148143" -48.3158305884906 -1.22371412493278 11
"454226" -48.4098060639158 -1.50325234149292 18
"144803" -48.304248883221 -1.22104925015459 12
"67982" -48.4644171811499 -1.15668379288427 8
"268216" -48.3910025091095 -1.31777377588949 11
"316733" -48.4787937006384 -1.35696970976008 6
"208259" -48.2596636759666 -1.27169161992163 14
"314236" -48.3840260559512 -1.35463398424369 7
"317248" -48.2755253724868 -1.3570270595591 31
"20848" -48.3368175536154 -1.10992474661175 17
"33599" -48.4200470259455 -1.12452308025045 17
"305051" -48.4658994514084 -1.34690070014821 12
"235714" -48.3560642529692 -1.29287954936005 17
"339307" -48.3351632493058 -1.3760855996111 24
"19827" -48.3297433570016 -1.10866152648311 25
"107235" -48.1564030144266 -1.18682773035454 33
"90701" -48.4272173775033 -1.17396727707918 34
"23757" -48.2652310016079 -1.1129309512055 18
"225014" -48.4715125671526 -1.28461840524641 19
"250835" -48.23188258115 -1.30419611917657 36
"456929" -48.4614180001623 -1.51071526193804 18
"165782" -48.3097803431044 -1.23892895172777 9
"365431" -48.4430898066905 -1.39715302024445 18
"269128" -48.2924939075146 -1.31841265754884 23
"342436" -48.3763682769066 -1.37906422630024 17
"402154" -48.3043048573346 -1.42604208524005 12
"121880" -48.3134259905839 -1.20011220186564 16
"221913" -48.3796620266052 -1.28201152809813 31
"444812" -48.409969516705 -1.48216498634065 21
"357072" -48.2771525838508 -1.39026266884585 31
"179690" -48.3049126921219 -1.25065381322797 20
"177645" -48.4401889494079 -1.2491143255652 12
"306661" -48.2346362962681 -1.34798798637806 35
"334905" -48.3791197998602 -1.37125765883264 23
"18502" -48.2422087095007 -1.10676547393486 21
"92491" -48.1716738900304 -1.17483572686899 27
"66378" -48.1856577441047 -1.15502291650197 14
"57196" -48.3266558170473 -1.14747963779118 26
"272863" -48.4609302212792 -1.32147766325606 5
"7244" -48.4148105541215 -1.08318096879861 8
"392296" -48.4370998287703 -1.41851377458263 35
"388347" -48.2873907533116 -1.4151302481694 24
"221601" -48.4235065779801 -1.28191668277974 13
"270562" -48.2633583051522 -1.31931148499473 38
"307414" -48.3535077390839 -1.34873546195916 17
"371500" -48.4061748766751 -1.40213975758057 26
"408945" -48.3634051253979 -1.43197621539727 15
"445428" -48.4110774916025 -1.48398177698831 15
"12292" -48.2369470974351 -1.09614842088269 14
"188674" -48.3284905655272 -1.25797447277972 5
"158269" -48.5337252867913 -1.23300311659172 8
"200393" -48.2954901042196 -1.2665071439993 9
"72540" -48.3299736857298 -1.16005071399499 16
"88443" -48.4039099124629 -1.17226975408083 31
"43552" -48.3989490401387 -1.13500603535147 39
"370285" -48.3418736271135 -1.40178783845186 17
"385604" -48.3365089214132 -1.41323254687407 18
"221652" -48.3857669943237 -1.28187816248563 22
"98218" -48.1985803757111 -1.17961040049462 25
"423497" -48.4945186559488 -1.44528045468501 7
"112229" -48.3986194938622 -1.19181604360925 14
"126521" -48.1970295973562 -1.20418341545266 33
"69982" -48.3447276735976 -1.15806310924101 10
"197076" -48.5239828481377 -1.2642790250911 16
"341129" -48.3527822615126 -1.37778111171268 28
"296689" -48.3685020222791 -1.33981435273709 19
"219279" -48.3831328005283 -1.27992035485284 15
"176041" -48.3538902734195 -1.2477714248399 10
"274549" -48.2550308924269 -1.32237421918756 37
"273097" -48.2705703862305 -1.32127438068496 25
"432519" -48.3076955586478 -1.45304336900405 17
"166213" -48.3980187712286 -1.23957631214338 11
"411196" -48.4350014150103 -1.43387353615211 9
"174673" -48.3158771042595 -1.24647586131103 15
"454931" -48.4580244283315 -1.50533443750409 16
"112881" -48.2962307618841 -1.19227529546019 17
"349064" -48.4365818634116 -1.38443721169522 20
"115699" -48.4152659098525 -1.19490420446113 16
"451438" -48.3994058887486 -1.49737453286754 14
"20259" -48.3487493311199 -1.10909766730834 24
"235719" -48.3435771944202 -1.29305261689342 14
"130593" -48.3431072998198 -1.20852012605904 13
"295392" -48.4155396045422 -1.33867772212797 17
"455139" -48.4665584091037 -1.50555392577035 21
"34643" -48.3318093316476 -1.12528106047344 27
"309496" -48.3193747500968 -1.35037355451813 27
"157736" -48.5297017738334 -1.23244069659591 13
"6288" -48.3648674186435 -1.08062398207833 11
"253795" -48.4676052028893 -1.30695997415408 16
"302964" -48.5272342413091 -1.34500882754203 10
"373805" -48.2818543408383 -1.40367339083444 48
"387502" -48.3435833564931 -1.41477680331093 20
"400080" -48.3287262197244 -1.42439503274083 18
"221886" -48.4101864550059 -1.28204280389877 31
"407677" -48.2905354371884 -1.43110867094 21
"307060" -48.4320410079254 -1.34854087442689 17
"458319" -48.4652945825214 -1.5184010470614 20
"134538" -48.1598448150154 -1.21210320777095 47
"214313" -48.5491703920359 -1.2765938638716 18
"200822" -48.3545649907988 -1.26662440767901 14
"106318" -48.3647715338549 -1.18661666655484 19
"84716" -48.3728345261018 -1.16944758919105 30
"50287" -48.3457229504015 -1.14196754838115 10
"141620" -48.2558343943044 -1.21834684540212 25
"165936" -48.440198378162 -1.23933839966886 14
"405691" -48.4738596811817 -1.42958759414359 15
"53479" -48.4100399819173 -1.14434487868615 10
"336529" -48.3091862028783 -1.37350777808424 29
"56578" -48.2850373292702 -1.14674196732178 15
"1002" -48.3386603626281 -1.06510037577974 5
"285024" -48.2455883886724 -1.33018318955135 39
"206792" -48.2696534102139 -1.27072482346111 28
"40163" -48.2674337352922 -1.13108578338357 14
"244259" -48.4520026112847 -1.29954223819979 17
"248714" -48.4487386530149 -1.30275103381814 32
"435545" -48.4704996995258 -1.45639846154408 13
"151525" -48.3070179906405 -1.22663769557756 16
"227859" -48.4532872964169 -1.28674159578668 24
"345304" -48.2968642972899 -1.38106924218547 41
"76729" -48.3184560641185 -1.16297223984438 18
"261144" -48.4372584172172 -1.31251521060169 20
"100367" -48.4477447418457 -1.18180702050831 17
"14772" -48.4195122182758 -1.10134003257301 3
"271374" -48.2247899224218 -1.32001316264022 32
"173302" -48.2692077004501 -1.24575728240787 22
"253891" -48.2526433850327 -1.30663936633285 31
"339320" -48.3248161867894 -1.3766325092919 32
"283174" -48.3556930896253 -1.32924317212125 20
"454731" -48.4380661595074 -1.50449626100996 19
"422523" -48.3486832650969 -1.44424794972444 21
"103930" -48.4269301341495 -1.18458077661668 19
"415407" -48.446652727152 -1.4380484226411 19
"142831" -48.2685762928723 -1.21969640962448 35
"23434" -48.3433354893803 -1.11272356097602 28
"148614" -48.2466926201572 -1.22380313446335 23
"413768" -48.321081163515 -1.43639536742728 21
"201312" -48.2731258262232 -1.26681867347288 20
"124757" -48.2823474996376 -1.20259477159574 45
"241282" -48.4753852414454 -1.29728476843567 16
"114374" -48.2493392935261 -1.1933455904823 40
"392427" -48.4749816599083 -1.41869536949653 4
"109882" -48.2655742269455 -1.18945207247652 22
"150847" -48.205090583609 -1.22622779228544 38
"454962" -48.4404707187562 -1.50510427864972 17
"431157" -48.2963197659401 -1.4518194761082 19
"337810" -48.3154630454722 -1.37466693411595 28
"363829" -48.3362513602272 -1.39563704882528 24
"316909" -48.2999438209675 -1.35677535257517 38
"359915" -48.4430944831244 -1.39282367706358 18
"170346" -48.2842492864618 -1.24281260073651 19
"326553" -48.263585143651 -1.36483310724191 45
"353092" -48.3853779314926 -1.38745321076724 18
"346772" -48.4658620063037 -1.38265334103774 15
"167130" -48.2796739694733 -1.24001509728613 30
"270982" -48.3801778023673 -1.31999672676856 7
"452610" -48.4712829696629 -1.49997307396042 17
"435778" -48.4328945119172 -1.45656513289228 3
"440290" -48.5058740254733 -1.46677322774709 5
"50528" -48.3900638070757 -1.14153362883533 7
"282242" -48.3535296118703 -1.3283471007012 22
"435283" -48.3014024844367 -1.45573552217099 4
"159463" -48.3349799365886 -1.23398325778357 13
"8205" -48.3859507687104 -1.08578146160016 10
"450533" -48.4254256198338 -1.49579943337455 12
"39751" -48.3918768244184 -1.13106146373139 25
"28284" -48.3660829602417 -1.11833002818113 31
"373117" -48.2757503794455 -1.40310768809467 35
"3528" -48.3568264090328 -1.07419318104013 23
"8490" -48.3936266117805 -1.08688672566085 8
"44681" -48.3700902614664 -1.13620865776331 14
"387848" -48.3614819717154 -1.41493701721645 14
"293965" -48.3173079429519 -1.33724487863886 26
"71164" -48.4094716390176 -1.15914756963665 18
"323106" -48.2991052683332 -1.36226692551897 28
"212569" -48.2725625404422 -1.27477739788373 31
"138188" -48.5320760160659 -1.2156829782136 23
"69784" -48.210901741441 -1.15784058375472 24
"154091" -48.3981397647699 -1.22929807580819 12
"210386" -48.4659733083054 -1.2734401597976 19
"260068" -48.4015541166831 -1.31136089590876 10
"188970" -48.3425035684264 -1.2576746815545 2
"128569" -48.3924607726893 -1.20701218431947 14
"233272" -48.3318857041942 -1.29069956875821 6
"373764" -48.307105389765 -1.40384245169654 8
"90556" -48.2551853141526 -1.17352326604724 19
"51991" -48.3668098742627 -1.14302047770904 22
"425132" -48.3467378257667 -1.44675928448375 23
"41509" -48.2893512315467 -1.13250287858143 12
"250" -48.3590575819673 -1.06078898124014 15
"242914" -48.3735406079742 -1.29820446990637 22
"914" -48.3442101893766 -1.06440696950514 18
"455171" -48.4376949230627 -1.50551996382557 13
"327340" -48.4234197295043 -1.36598848400626 24
"137054" -48.2287868341725 -1.21426963155832 21
"372984" -48.3645476943875 -1.40321012337026 29
"13246" -48.394402757882 -1.09852500620364 15
"47979" -48.4566097868567 -1.13872532107881 11
"258941" -48.294999811393 -1.31040938598896 18
"44541" -48.2513373654826 -1.13567842304187 21
"186037" -48.3547150187115 -1.25545282780193 17
"96149" -48.2820941174033 -1.17801815980868 28
"283591" -48.2337969977665 -1.32940192703927 43
"38013" -48.2444076703151 -1.12882971006452 26
"202527" -48.2278989150745 -1.26760813306494 32
"281020" -48.4784073386481 -1.3277803046219 21
"318725" -48.4317527645908 -1.35873539718875 19
"304315" -48.4137281112412 -1.34600759247454 13
"418579" -48.283337363591 -1.44053964785487 23
"48816" -48.4144837318975 -1.13988000509575 7
"282121" -48.4575927965415 -1.32859678598951 8
"58485" -48.3811781564485 -1.14850798031493 10
"440212" -48.4402777990914 -1.4660602235572 15
"143064" -48.3923490710732 -1.22015921574202 19
"297312" -48.4268423796117 -1.34017249639665 13
"339718" -48.2641270888488 -1.37628389206449 51
"57000" -48.2005546750256 -1.14693926603063 11
"326008" -48.4243005120039 -1.36411185954224 10
"116172" -48.4051834550956 -1.19526703849067 14
"205276" -48.3677424518773 -1.26971017977348 17
"359181" -48.4364348272572 -1.39211811365594 20
"261846" -48.4238915930529 -1.31278069022021 11
"311926" -48.4629864424935 -1.35182820441181 15
"191025" -48.4199212539533 -1.2595684133886 23
"42528" -48.283246179093 -1.13361423024288 29
"83254" -48.3883743117171 -1.16848464038454 10
"439349" -48.452798859085 -1.46378023057982 2
"331284" -48.271349712655 -1.36903110123657 51
"33525" -48.2499610362336 -1.12408742594767 16
"53270" -48.3453879852008 -1.14414570997414 14
"222349" -48.4604143475642 -1.28237278783046 5
"246916" -48.3818622236795 -1.30128545450697 14
"389845" -48.3073685877391 -1.41627081775557 17
"13138" -48.3746743454678 -1.09850761491991 19
"213020" -48.4640288301959 -1.27539345715943 20
"33204" -48.3226543011208 -1.12387618077047 27
